epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601655851002,2020-10-02T12.24.11.002,20.226,-0.049,0.040,-1.046
1601655851012,2020-10-02T12.24.11.012,20.236,-0.039,0.040,-1.055
1601655851021,2020-10-02T12.24.11.021,20.245,-0.045,0.044,-1.065
1601655851032,2020-10-02T12.24.11.032,20.256,-0.042,0.045,-1.060
1601655851042,2020-10-02T12.24.11.042,20.266,-0.033,0.040,-1.062
1601655851052,2020-10-02T12.24.11.052,20.276,-0.038,0.040,-1.054
1601655851062,2020-10-02T12.24.11.062,20.286,-0.052,0.044,-1.048
1601655851071,2020-10-02T12.24.11.071,20.295,-0.052,0.039,-1.046
1601655851081,2020-10-02T12.24.11.081,20.305,-0.048,0.034,-1.047
1601655851092,2020-10-02T12.24.11.092,20.316,-0.050,0.039,-1.053
1601655851102,2020-10-02T12.24.11.102,20.326,-0.043,0.039,-1.057
1601655851111,2020-10-02T12.24.11.111,20.335,-0.033,0.050,-1.053
1601655851121,2020-10-02T12.24.11.121,20.345,-0.031,0.047,-1.049
1601655851131,2020-10-02T12.24.11.131,20.355,-0.032,0.044,-1.040
1601655851141,2020-10-02T12.24.11.141,20.365,-0.030,0.048,-1.034
1601655851152,2020-10-02T12.24.11.152,20.376,-0.013,0.046,-1.039
1601655851160,2020-10-02T12.24.11.160,20.384,-0.017,0.054,-1.047
1601655851171,2020-10-02T12.24.11.171,20.395,-0.017,0.046,-1.050
1601655851181,2020-10-02T12.24.11.181,20.405,-0.022,0.049,-1.047
1601655851191,2020-10-02T12.24.11.191,20.415,-0.020,0.047,-1.042
1601655851201,2020-10-02T12.24.11.201,20.425,-0.019,0.045,-1.041
1601655851210,2020-10-02T12.24.11.210,20.434,-0.013,0.052,-1.041
1601655851221,2020-10-02T12.24.11.221,20.445,-0.002,0.060,-1.048
1601655851231,2020-10-02T12.24.11.231,20.455,0.002,0.063,-1.049
1601655851241,2020-10-02T12.24.11.241,20.465,0.003,0.068,-1.050
1601655851250,2020-10-02T12.24.11.250,20.474,-0.004,0.058,-1.050
1601655851260,2020-10-02T12.24.11.260,20.484,-0.012,0.054,-1.041
1601655851270,2020-10-02T12.24.11.270,20.494,-0.023,0.052,-1.033
1601655851281,2020-10-02T12.24.11.281,20.505,-0.035,0.041,-1.038
1601655851291,2020-10-02T12.24.11.291,20.515,-0.041,0.037,-1.041
1601655851300,2020-10-02T12.24.11.300,20.524,-0.031,0.045,-1.046
1601655851310,2020-10-02T12.24.11.310,20.534,-0.022,0.052,-1.050
1601655851320,2020-10-02T12.24.11.320,20.544,-0.012,0.058,-1.052
1601655851330,2020-10-02T12.24.11.330,20.554,-0.007,0.066,-1.052
1601655851339,2020-10-02T12.24.11.339,20.563,0.003,0.070,-1.053
1601655851349,2020-10-02T12.24.11.349,20.573,0.004,0.067,-1.052
1601655851360,2020-10-02T12.24.11.360,20.584,-0.004,0.062,-1.042
1601655851370,2020-10-02T12.24.11.370,20.594,-0.026,0.041,-1.045
1601655851380,2020-10-02T12.24.11.380,20.604,-0.030,0.043,-1.053
1601655851389,2020-10-02T12.24.11.389,20.613,-0.017,0.054,-1.057
1601655851399,2020-10-02T12.24.11.399,20.623,-0.006,0.062,-1.055
1601655851409,2020-10-02T12.24.11.409,20.633,0.003,0.068,-1.055
1601655851420,2020-10-02T12.24.11.420,20.644,0.012,0.070,-1.051
1601655851429,2020-10-02T12.24.11.429,20.653,0.010,0.068,-1.045
1601655851439,2020-10-02T12.24.11.439,20.663,-0.007,0.057,-1.042
1601655851449,2020-10-02T12.24.11.449,20.673,-0.016,0.054,-1.045
1601655851459,2020-10-02T12.24.11.459,20.683,-0.015,0.054,-1.046
1601655851470,2020-10-02T12.24.11.470,20.694,-0.010,0.056,-1.045
1601655851478,2020-10-02T12.24.11.478,20.702,-0.004,0.064,-1.044
1601655851489,2020-10-02T12.24.11.489,20.713,0.002,0.068,-1.046
1601655851499,2020-10-02T12.24.11.499,20.723,0.009,0.070,-1.043
1601655851509,2020-10-02T12.24.11.509,20.733,0.007,0.071,-1.034
1601655851518,2020-10-02T12.24.11.518,20.742,0.000,0.067,-1.021
1601655851528,2020-10-02T12.24.11.528,20.752,-0.004,0.062,-1.031
1601655851538,2020-10-02T12.24.11.538,20.762,-0.006,0.057,-1.042
1601655851549,2020-10-02T12.24.11.549,20.773,0.000,0.060,-1.043
1601655851559,2020-10-02T12.24.11.559,20.783,0.003,0.067,-1.037
1601655851568,2020-10-02T12.24.11.568,20.792,0.006,0.066,-1.042
1601655851578,2020-10-02T12.24.11.578,20.802,0.012,0.069,-1.040
1601655851588,2020-10-02T12.24.11.588,20.812,0.009,0.071,-1.033
1601655851598,2020-10-02T12.24.11.598,20.822,-0.001,0.060,-1.024
1601655851607,2020-10-02T12.24.11.607,20.831,-0.010,0.053,-1.033
1601655851617,2020-10-02T12.24.11.617,20.841,-0.009,0.056,-1.044
1601655851628,2020-10-02T12.24.11.628,20.852,-0.004,0.064,-1.048
1601655851638,2020-10-02T12.24.11.638,20.862,0.004,0.072,-1.049
1601655851648,2020-10-02T12.24.11.648,20.872,0.012,0.075,-1.052
1601655851657,2020-10-02T12.24.11.657,20.881,0.022,0.078,-1.056
1601655851667,2020-10-02T12.24.11.667,20.891,0.027,0.077,-1.057
1601655851678,2020-10-02T12.24.11.678,20.902,0.028,0.081,-1.058
1601655851688,2020-10-02T12.24.11.688,20.912,0.025,0.076,-1.060
1601655851697,2020-10-02T12.24.11.697,20.921,0.020,0.065,-1.059
1601655851707,2020-10-02T12.24.11.707,20.931,0.018,0.063,-1.052
1601655851717,2020-10-02T12.24.11.717,20.941,0.014,0.069,-1.042
1601655851727,2020-10-02T12.24.11.727,20.951,0.011,0.060,-1.037
1601655851738,2020-10-02T12.24.11.738,20.962,0.013,0.062,-1.037
1601655851746,2020-10-02T12.24.11.746,20.970,0.016,0.069,-1.038
1601655851757,2020-10-02T12.24.11.757,20.981,0.020,0.073,-1.040
1601655851767,2020-10-02T12.24.11.767,20.991,0.020,0.072,-1.029
1601655851777,2020-10-02T12.24.11.777,21.001,0.018,0.069,-1.027
1601655851786,2020-10-02T12.24.11.786,21.010,0.008,0.067,-1.040
1601655851796,2020-10-02T12.24.11.796,21.020,0.007,0.064,-1.043
1601655851806,2020-10-02T12.24.11.806,21.030,0.003,0.067,-1.038
1601655851817,2020-10-02T12.24.11.817,21.041,-0.003,0.058,-1.034
1601655851827,2020-10-02T12.24.11.827,21.051,-0.008,0.055,-1.042
1601655851836,2020-10-02T12.24.11.836,21.060,-0.010,0.059,-1.053
1601655851846,2020-10-02T12.24.11.846,21.070,-0.005,0.060,-1.053
1601655851856,2020-10-02T12.24.11.856,21.080,-0.001,0.062,-1.045
1601655851867,2020-10-02T12.24.11.867,21.091,0.005,0.069,-1.040
1601655851875,2020-10-02T12.24.11.875,21.099,0.006,0.071,-1.046
1601655851886,2020-10-02T12.24.11.886,21.110,0.007,0.072,-1.059
1601655851896,2020-10-02T12.24.11.896,21.120,0.004,0.073,-1.059
1601655851906,2020-10-02T12.24.11.906,21.130,0.004,0.063,-1.045
1601655851916,2020-10-02T12.24.11.916,21.140,0.001,0.060,-1.042
1601655851925,2020-10-02T12.24.11.925,21.149,-0.000,0.060,-1.045
1601655851935,2020-10-02T12.24.11.935,21.159,0.002,0.064,-1.048
1601655851946,2020-10-02T12.24.11.946,21.170,0.010,0.070,-1.046
1601655851956,2020-10-02T12.24.11.956,21.180,0.012,0.073,-1.044
1601655851965,2020-10-02T12.24.11.965,21.189,0.010,0.075,-1.040
1601655851975,2020-10-02T12.24.11.975,21.199,0.012,0.073,-1.040
1601655851985,2020-10-02T12.24.11.985,21.209,0.012,0.070,-1.047
1601655851995,2020-10-02T12.24.11.995,21.219,0.012,0.066,-1.046
1601655852006,2020-10-02T12.24.12.006,21.230,0.013,0.071,-1.042
1601655852014,2020-10-02T12.24.12.014,21.238,0.012,0.073,-1.045
1601655852025,2020-10-02T12.24.12.025,21.249,0.009,0.068,-1.048
1601655852035,2020-10-02T12.24.12.035,21.259,0.002,0.061,-1.038
1601655852045,2020-10-02T12.24.12.045,21.269,0.001,0.058,-1.038
1601655852054,2020-10-02T12.24.12.054,21.278,0.005,0.064,-1.039
1601655852064,2020-10-02T12.24.12.064,21.288,0.006,0.065,-1.042
1601655852075,2020-10-02T12.24.12.075,21.299,0.008,0.068,-1.043
1601655852085,2020-10-02T12.24.12.085,21.309,0.012,0.074,-1.048
1601655852095,2020-10-02T12.24.12.095,21.319,0.011,0.068,-1.044
1601655852104,2020-10-02T12.24.12.104,21.328,0.007,0.069,-1.044
1601655852114,2020-10-02T12.24.12.114,21.338,0.007,0.068,-1.047
1601655852124,2020-10-02T12.24.12.124,21.348,0.004,0.067,-1.057
1601655852135,2020-10-02T12.24.12.135,21.359,-0.002,0.062,-1.049
1601655852143,2020-10-02T12.24.12.143,21.367,0.002,0.062,-1.048
1601655852154,2020-10-02T12.24.12.154,21.378,0.000,0.065,-1.052
1601655852164,2020-10-02T12.24.12.164,21.388,0.005,0.068,-1.056
1601655852174,2020-10-02T12.24.12.174,21.398,0.004,0.069,-1.052
1601655852184,2020-10-02T12.24.12.184,21.408,0.002,0.060,-1.042
1601655852193,2020-10-02T12.24.12.193,21.417,0.003,0.066,-1.038
1601655852203,2020-10-02T12.24.12.203,21.427,0.003,0.063,-1.044
1601655852214,2020-10-02T12.24.12.214,21.438,0.002,0.061,-1.049
1601655852224,2020-10-02T12.24.12.224,21.448,0.006,0.069,-1.048
1601655852233,2020-10-02T12.24.12.233,21.457,0.009,0.068,-1.043
1601655852243,2020-10-02T12.24.12.243,21.467,0.007,0.064,-1.034
1601655852253,2020-10-02T12.24.12.253,21.477,0.001,0.064,-1.040
1601655852263,2020-10-02T12.24.12.263,21.487,0.002,0.063,-1.041
1601655852274,2020-10-02T12.24.12.274,21.498,0.008,0.067,-1.042
1601655852283,2020-10-02T12.24.12.283,21.507,0.013,0.069,-1.042
1601655852293,2020-10-02T12.24.12.293,21.517,0.017,0.069,-1.040
1601655852303,2020-10-02T12.24.12.303,21.527,0.018,0.069,-1.038
1601655852313,2020-10-02T12.24.12.313,21.537,0.007,0.065,-1.037
1601655852322,2020-10-02T12.24.12.322,21.546,0.002,0.058,-1.039
1601655852332,2020-10-02T12.24.12.332,21.556,0.003,0.059,-1.038
1601655852343,2020-10-02T12.24.12.343,21.567,0.006,0.065,-1.045
1601655852353,2020-10-02T12.24.12.353,21.577,0.008,0.070,-1.055
1601655852363,2020-10-02T12.24.12.363,21.587,0.010,0.068,-1.058
1601655852372,2020-10-02T12.24.12.372,21.596,0.008,0.070,-1.053
1601655852382,2020-10-02T12.24.12.382,21.606,0.009,0.068,-1.047
1601655852392,2020-10-02T12.24.12.392,21.616,0.013,0.066,-1.043
1601655852403,2020-10-02T12.24.12.403,21.627,0.011,0.068,-1.047
1601655852411,2020-10-02T12.24.12.411,21.635,0.012,0.066,-1.052
1601655852422,2020-10-02T12.24.12.422,21.646,0.007,0.069,-1.054
1601655852432,2020-10-02T12.24.12.432,21.656,0.003,0.065,-1.051
1601655852442,2020-10-02T12.24.12.442,21.666,0.002,0.065,-1.051
1601655852452,2020-10-02T12.24.12.452,21.676,0.004,0.064,-1.046
1601655852461,2020-10-02T12.24.12.461,21.685,0.009,0.069,-1.043
1601655852471,2020-10-02T12.24.12.471,21.695,0.013,0.066,-1.040
1601655852482,2020-10-02T12.24.12.482,21.706,0.019,0.074,-1.046
1601655852492,2020-10-02T12.24.12.492,21.716,0.017,0.070,-1.048
1601655852501,2020-10-02T12.24.12.501,21.725,0.017,0.067,-1.049
1601655852511,2020-10-02T12.24.12.511,21.735,0.013,0.068,-1.042
1601655852521,2020-10-02T12.24.12.521,21.745,0.013,0.063,-1.034
1601655852532,2020-10-02T12.24.12.532,21.756,0.013,0.065,-1.037
1601655852542,2020-10-02T12.24.12.542,21.766,0.009,0.068,-1.045
1601655852551,2020-10-02T12.24.12.551,21.775,0.011,0.066,-1.044
1601655852561,2020-10-02T12.24.12.561,21.785,0.012,0.065,-1.039
1601655852571,2020-10-02T12.24.12.571,21.795,0.011,0.071,-1.043
1601655852581,2020-10-02T12.24.12.581,21.805,0.008,0.063,-1.048
1601655852590,2020-10-02T12.24.12.590,21.814,0.007,0.065,-1.047
1601655852600,2020-10-02T12.24.12.600,21.824,0.009,0.067,-1.042
1601655852611,2020-10-02T12.24.12.611,21.835,0.008,0.071,-1.043
1601655852621,2020-10-02T12.24.12.621,21.845,0.006,0.066,-1.049
1601655852631,2020-10-02T12.24.12.631,21.855,0.003,0.067,-1.044
1601655852640,2020-10-02T12.24.12.640,21.864,0.006,0.065,-1.042
1601655852650,2020-10-02T12.24.12.650,21.874,0.006,0.059,-1.037
1601655852660,2020-10-02T12.24.12.660,21.884,0.004,0.059,-1.035
1601655852671,2020-10-02T12.24.12.671,21.895,0.010,0.059,-1.035
1601655852679,2020-10-02T12.24.12.679,21.903,0.013,0.069,-1.039
1601655852690,2020-10-02T12.24.12.690,21.914,0.012,0.069,-1.042
1601655852700,2020-10-02T12.24.12.700,21.924,0.014,0.066,-1.039
1601655852710,2020-10-02T12.24.12.710,21.934,0.013,0.065,-1.041
1601655852721,2020-10-02T12.24.12.721,21.945,0.009,0.069,-1.045
1601655852729,2020-10-02T12.24.12.729,21.953,0.010,0.069,-1.059
1601655852740,2020-10-02T12.24.12.740,21.964,0.015,0.072,-1.067
1601655852750,2020-10-02T12.24.12.750,21.974,0.019,0.069,-1.058
1601655852760,2020-10-02T12.24.12.760,21.984,0.022,0.076,-1.051
1601655852769,2020-10-02T12.24.12.769,21.993,0.019,0.074,-1.047
1601655852779,2020-10-02T12.24.12.779,22.003,0.016,0.072,-1.056
1601655852789,2020-10-02T12.24.12.789,22.013,0.014,0.072,-1.058
1601655852800,2020-10-02T12.24.12.800,22.024,0.015,0.073,-1.052
1601655852810,2020-10-02T12.24.12.810,22.034,0.009,0.066,-1.041
1601655852819,2020-10-02T12.24.12.819,22.043,0.008,0.064,-1.035
1601655852829,2020-10-02T12.24.12.829,22.053,0.009,0.063,-1.036
1601655852839,2020-10-02T12.24.12.839,22.063,0.012,0.063,-1.031
1601655852849,2020-10-02T12.24.12.849,22.073,0.013,0.062,-1.030
1601655852858,2020-10-02T12.24.12.858,22.082,0.013,0.065,-1.034
1601655852868,2020-10-02T12.24.12.868,22.092,0.011,0.067,-1.041
1601655852879,2020-10-02T12.24.12.879,22.103,0.010,0.069,-1.046
1601655852889,2020-10-02T12.24.12.889,22.113,0.015,0.069,-1.047
1601655852899,2020-10-02T12.24.12.899,22.123,0.011,0.067,-1.042
1601655852908,2020-10-02T12.24.12.908,22.132,0.012,0.066,-1.042
1601655852918,2020-10-02T12.24.12.918,22.142,0.012,0.069,-1.051
1601655852929,2020-10-02T12.24.12.929,22.153,0.016,0.073,-1.060
1601655852939,2020-10-02T12.24.12.939,22.163,0.021,0.073,-1.052
1601655852949,2020-10-02T12.24.12.949,22.173,0.022,0.074,-1.047
1601655852958,2020-10-02T12.24.12.958,22.182,0.024,0.073,-1.045
1601655852968,2020-10-02T12.24.12.968,22.192,0.023,0.071,-1.047
1601655852978,2020-10-02T12.24.12.978,22.202,0.017,0.071,-1.051
1601655852989,2020-10-02T12.24.12.989,22.213,0.009,0.069,-1.050
1601655852997,2020-10-02T12.24.12.997,22.221,0.011,0.067,-1.044
1601655853008,2020-10-02T12.24.13.008,22.232,0.012,0.073,-1.046
1601655853018,2020-10-02T12.24.13.018,22.242,0.016,0.073,-1.044
1601655853028,2020-10-02T12.24.13.028,22.252,0.014,0.067,-1.035
1601655853038,2020-10-02T12.24.13.038,22.262,0.011,0.068,-1.033
1601655853047,2020-10-02T12.24.13.047,22.271,0.009,0.071,-1.035
1601655853057,2020-10-02T12.24.13.057,22.281,0.009,0.071,-1.046
1601655853068,2020-10-02T12.24.13.068,22.292,0.014,0.072,-1.050
1601655853078,2020-10-02T12.24.13.078,22.302,0.013,0.071,-1.042
1601655853087,2020-10-02T12.24.13.087,22.311,0.010,0.069,-1.042
1601655853097,2020-10-02T12.24.13.097,22.321,0.010,0.072,-1.042
1601655853107,2020-10-02T12.24.13.107,22.331,0.010,0.072,-1.040
1601655853117,2020-10-02T12.24.13.117,22.341,0.016,0.075,-1.042
1601655853128,2020-10-02T12.24.13.128,22.352,0.019,0.072,-1.037
1601655853137,2020-10-02T12.24.13.137,22.361,0.019,0.070,-1.036
1601655853147,2020-10-02T12.24.13.147,22.371,0.020,0.074,-1.041
1601655853157,2020-10-02T12.24.13.157,22.381,0.015,0.072,-1.045
1601655853167,2020-10-02T12.24.13.167,22.391,0.013,0.068,-1.050
1601655853176,2020-10-02T12.24.13.176,22.400,0.011,0.072,-1.049
1601655853186,2020-10-02T12.24.13.186,22.410,0.013,0.072,-1.042
1601655853197,2020-10-02T12.24.13.197,22.421,0.017,0.075,-1.043
1601655853207,2020-10-02T12.24.13.207,22.431,0.015,0.073,-1.051
1601655853217,2020-10-02T12.24.13.217,22.441,0.014,0.069,-1.042
1601655853226,2020-10-02T12.24.13.226,22.450,0.017,0.070,-1.044
1601655853236,2020-10-02T12.24.13.236,22.460,0.021,0.072,-1.044
1601655853246,2020-10-02T12.24.13.246,22.470,0.019,0.075,-1.039
1601655853257,2020-10-02T12.24.13.257,22.481,0.022,0.074,-1.040
1601655853265,2020-10-02T12.24.13.265,22.489,0.023,0.076,-1.042
1601655853276,2020-10-02T12.24.13.276,22.500,0.028,0.078,-1.047
1601655853286,2020-10-02T12.24.13.286,22.510,0.024,0.076,-1.042
1601655853296,2020-10-02T12.24.13.296,22.520,0.018,0.070,-1.049
1601655853306,2020-10-02T12.24.13.306,22.530,0.007,0.059,-1.048
1601655853315,2020-10-02T12.24.13.315,22.539,0.012,0.072,-1.046
1601655853325,2020-10-02T12.24.13.325,22.549,0.014,0.075,-1.045
1601655853336,2020-10-02T12.24.13.336,22.560,0.013,0.059,-1.040
1601655853346,2020-10-02T12.24.13.346,22.570,0.012,0.080,-1.038
1601655853355,2020-10-02T12.24.13.355,22.579,0.018,0.074,-1.048
1601655853365,2020-10-02T12.24.13.365,22.589,0.021,0.074,-1.048
1601655853375,2020-10-02T12.24.13.375,22.599,0.019,0.071,-1.046
1601655853386,2020-10-02T12.24.13.386,22.610,0.017,0.069,-1.040
1601655853396,2020-10-02T12.24.13.396,22.620,0.011,0.077,-1.050
1601655853405,2020-10-02T12.24.13.405,22.629,0.011,0.071,-1.049
1601655853415,2020-10-02T12.24.13.415,22.639,0.014,0.075,-1.048
1601655853425,2020-10-02T12.24.13.425,22.649,0.017,0.079,-1.045
1601655853435,2020-10-02T12.24.13.435,22.659,0.015,0.074,-1.040
1601655853444,2020-10-02T12.24.13.444,22.668,0.017,0.073,-1.046
1601655853454,2020-10-02T12.24.13.454,22.678,0.021,0.078,-1.048
1601655853465,2020-10-02T12.24.13.465,22.689,0.025,0.076,-1.043
1601655853475,2020-10-02T12.24.13.475,22.699,0.025,0.080,-1.034
1601655853485,2020-10-02T12.24.13.485,22.709,0.028,0.076,-1.039
1601655853494,2020-10-02T12.24.13.494,22.718,0.024,0.077,-1.047
1601655853504,2020-10-02T12.24.13.504,22.728,0.026,0.074,-1.049
1601655853514,2020-10-02T12.24.13.514,22.738,0.020,0.076,-1.045
1601655853525,2020-10-02T12.24.13.525,22.749,0.020,0.076,-1.043
1601655853533,2020-10-02T12.24.13.533,22.757,0.020,0.075,-1.043
1601655853544,2020-10-02T12.24.13.544,22.768,0.021,0.077,-1.044
1601655853554,2020-10-02T12.24.13.554,22.778,0.019,0.077,-1.035
1601655853564,2020-10-02T12.24.13.564,22.788,0.019,0.073,-1.033
1601655853575,2020-10-02T12.24.13.575,22.799,0.021,0.076,-1.043
1601655853583,2020-10-02T12.24.13.583,22.807,0.010,0.072,-1.047
1601655853594,2020-10-02T12.24.13.594,22.818,0.007,0.064,-1.038
1601655853604,2020-10-02T12.24.13.604,22.828,0.008,0.071,-1.035
1601655853614,2020-10-02T12.24.13.614,22.838,0.010,0.076,-1.036
1601655853623,2020-10-02T12.24.13.623,22.847,0.014,0.074,-1.043
1601655853633,2020-10-02T12.24.13.633,22.857,0.014,0.073,-1.043
1601655853643,2020-10-02T12.24.13.643,22.867,0.012,0.071,-1.052
1601655853654,2020-10-02T12.24.13.654,22.878,0.012,0.069,-1.049
1601655853664,2020-10-02T12.24.13.664,22.888,0.020,0.071,-1.047
1601655853673,2020-10-02T12.24.13.673,22.897,0.021,0.073,-1.049
1601655853683,2020-10-02T12.24.13.683,22.907,0.022,0.076,-1.046
1601655853693,2020-10-02T12.24.13.693,22.917,0.019,0.083,-1.053
1601655853703,2020-10-02T12.24.13.703,22.927,0.019,0.078,-1.050
1601655853712,2020-10-02T12.24.13.712,22.936,0.021,0.078,-1.045
1601655853722,2020-10-02T12.24.13.722,22.946,0.021,0.076,-1.046
1601655853733,2020-10-02T12.24.13.733,22.957,0.018,0.073,-1.042
1601655853743,2020-10-02T12.24.13.743,22.967,0.016,0.075,-1.044
1601655853753,2020-10-02T12.24.13.753,22.977,0.017,0.078,-1.049
1601655853762,2020-10-02T12.24.13.762,22.986,0.021,0.072,-1.043
1601655853772,2020-10-02T12.24.13.772,22.996,0.022,0.078,-1.041
1601655853783,2020-10-02T12.24.13.783,23.007,0.022,0.079,-1.046
1601655853793,2020-10-02T12.24.13.793,23.017,0.018,0.076,-1.038
1601655853802,2020-10-02T12.24.13.802,23.026,0.017,0.068,-1.032
1601655853812,2020-10-02T12.24.13.812,23.036,0.016,0.071,-1.033
1601655853822,2020-10-02T12.24.13.822,23.046,0.015,0.076,-1.039
1601655853832,2020-10-02T12.24.13.832,23.056,0.017,0.080,-1.048
1601655853843,2020-10-02T12.24.13.843,23.067,0.015,0.076,-1.038
1601655853851,2020-10-02T12.24.13.851,23.075,0.013,0.073,-1.037
1601655853862,2020-10-02T12.24.13.862,23.086,0.010,0.070,-1.039
1601655853872,2020-10-02T12.24.13.872,23.096,0.015,0.074,-1.042
1601655853882,2020-10-02T12.24.13.882,23.106,0.020,0.076,-1.043
1601655853891,2020-10-02T12.24.13.891,23.115,0.018,0.074,-1.045
1601655853901,2020-10-02T12.24.13.901,23.125,0.015,0.078,-1.044
1601655853911,2020-10-02T12.24.13.911,23.135,0.017,0.075,-1.039
1601655853922,2020-10-02T12.24.13.922,23.146,0.016,0.074,-1.043
1601655853932,2020-10-02T12.24.13.932,23.156,0.020,0.079,-1.052
1601655853941,2020-10-02T12.24.13.941,23.165,0.025,0.080,-1.050
1601655853951,2020-10-02T12.24.13.951,23.175,0.024,0.077,-1.041
1601655853961,2020-10-02T12.24.13.961,23.185,0.017,0.072,-1.039
1601655853971,2020-10-02T12.24.13.971,23.195,0.017,0.072,-1.045
1601655853980,2020-10-02T12.24.13.980,23.204,0.021,0.077,-1.051
1601655853991,2020-10-02T12.24.13.991,23.215,0.022,0.079,-1.048
1601655854001,2020-10-02T12.24.14.001,23.225,0.020,0.075,-1.042
1601655854011,2020-10-02T12.24.14.011,23.235,0.017,0.077,-1.046
1601655854021,2020-10-02T12.24.14.021,23.245,0.011,0.071,-1.043
1601655854030,2020-10-02T12.24.14.030,23.254,0.015,0.071,-1.042
1601655854040,2020-10-02T12.24.14.040,23.264,0.016,0.071,-1.040
1601655854051,2020-10-02T12.24.14.051,23.275,0.017,0.074,-1.043
1601655854061,2020-10-02T12.24.14.061,23.285,0.017,0.078,-1.048
1601655854070,2020-10-02T12.24.14.070,23.294,0.021,0.075,-1.048
1601655854080,2020-10-02T12.24.14.080,23.304,0.020,0.073,-1.040
1601655854090,2020-10-02T12.24.14.090,23.314,0.018,0.078,-1.041
1601655854100,2020-10-02T12.24.14.100,23.324,0.018,0.074,-1.038
1601655854111,2020-10-02T12.24.14.111,23.335,0.009,0.071,-1.041
1601655854119,2020-10-02T12.24.14.119,23.343,0.010,0.073,-1.045
1601655854130,2020-10-02T12.24.14.130,23.354,0.014,0.082,-1.048
1601655854140,2020-10-02T12.24.14.140,23.364,0.023,0.081,-1.036
1601655854150,2020-10-02T12.24.14.150,23.374,0.024,0.080,-1.038
1601655854159,2020-10-02T12.24.14.159,23.383,0.021,0.075,-1.045
1601655854169,2020-10-02T12.24.14.169,23.393,0.018,0.072,-1.045
1601655854179,2020-10-02T12.24.14.179,23.403,0.023,0.077,-1.048
1601655854190,2020-10-02T12.24.14.190,23.414,0.028,0.079,-1.049
1601655854200,2020-10-02T12.24.14.200,23.424,0.030,0.074,-1.044
1601655854209,2020-10-02T12.24.14.209,23.433,0.028,0.073,-1.047
1601655854219,2020-10-02T12.24.14.219,23.443,0.033,0.079,-1.052
1601655854229,2020-10-02T12.24.14.229,23.453,0.035,0.084,-1.050
1601655854240,2020-10-02T12.24.14.240,23.464,0.034,0.088,-1.041
1601655854248,2020-10-02T12.24.14.248,23.472,0.027,0.081,-1.036
1601655854259,2020-10-02T12.24.14.259,23.483,0.026,0.082,-1.044
1601655854269,2020-10-02T12.24.14.269,23.493,0.024,0.082,-1.047
1601655854279,2020-10-02T12.24.14.279,23.503,0.031,0.080,-1.042
1601655854289,2020-10-02T12.24.14.289,23.513,0.034,0.080,-1.035
1601655854298,2020-10-02T12.24.14.298,23.522,0.033,0.079,-1.034
1601655854308,2020-10-02T12.24.14.308,23.532,0.025,0.076,-1.036
1601655854319,2020-10-02T12.24.14.319,23.543,0.023,0.068,-1.031
1601655854329,2020-10-02T12.24.14.329,23.553,0.023,0.070,-1.041
1601655854338,2020-10-02T12.24.14.338,23.562,0.020,0.074,-1.046
1601655854348,2020-10-02T12.24.14.348,23.572,0.021,0.077,-1.051
1601655854358,2020-10-02T12.24.14.358,23.582,0.019,0.071,-1.047
1601655854368,2020-10-02T12.24.14.368,23.592,0.016,0.072,-1.046
1601655854379,2020-10-02T12.24.14.379,23.603,0.020,0.073,-1.046
1601655854387,2020-10-02T12.24.14.387,23.611,0.019,0.077,-1.051
1601655854398,2020-10-02T12.24.14.398,23.622,0.017,0.081,-1.053
1601655854408,2020-10-02T12.24.14.408,23.632,0.013,0.078,-1.052
1601655854418,2020-10-02T12.24.14.418,23.642,0.010,0.073,-1.044
1601655854427,2020-10-02T12.24.14.427,23.651,0.009,0.065,-1.045
1601655854437,2020-10-02T12.24.14.437,23.661,0.014,0.072,-1.040
1601655854448,2020-10-02T12.24.14.448,23.672,0.020,0.079,-1.040
1601655854458,2020-10-02T12.24.14.458,23.682,0.028,0.080,-1.044
1601655854468,2020-10-02T12.24.14.468,23.692,0.030,0.082,-1.039
1601655854477,2020-10-02T12.24.14.477,23.701,0.032,0.081,-1.032
1601655854487,2020-10-02T12.24.14.487,23.711,0.032,0.081,-1.037
1601655854497,2020-10-02T12.24.14.497,23.721,0.034,0.082,-1.046
1601655854508,2020-10-02T12.24.14.508,23.732,0.032,0.082,-1.043
1601655854518,2020-10-02T12.24.14.518,23.742,0.030,0.076,-1.036
1601655854527,2020-10-02T12.24.14.527,23.751,0.022,0.069,-1.039
1601655854537,2020-10-02T12.24.14.537,23.761,0.018,0.073,-1.041
1601655854547,2020-10-02T12.24.14.547,23.771,0.026,0.078,-1.042
1601655854557,2020-10-02T12.24.14.557,23.781,0.028,0.080,-1.043
1601655854566,2020-10-02T12.24.14.566,23.790,0.027,0.079,-1.046
1601655854576,2020-10-02T12.24.14.576,23.800,0.025,0.076,-1.048
1601655854587,2020-10-02T12.24.14.587,23.811,0.023,0.078,-1.050
1601655854597,2020-10-02T12.24.14.597,23.821,0.016,0.074,-1.044
1601655854606,2020-10-02T12.24.14.606,23.830,0.013,0.065,-1.047
1601655854616,2020-10-02T12.24.14.616,23.840,0.016,0.072,-1.052
