epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az,Activity
1601655855460,-1.616,4.085,0.716,0.0,0.063,-1.038,Unknown
1601655855470,-1.265,3.384,0.823,0.005,0.071,-1.041,Unknown
1601655855480,0.122,1.143,0.488,0.009,0.073,-1.043,Unknown
1601655855491,0.671,-0.229,0.107,0.013,0.074,-1.044,Unknown
1601655855501,0.595,-0.884,-0.427,0.01,0.072,-1.044,Unknown
1601655855510,0.488,-0.915,-0.884,0.006,0.068,-1.045,Unknown
1601655855520,0.061,-0.122,-0.595,0.001,0.063,-1.047,Unknown
1601655855530,0.32,0.061,-0.107,0.0,0.062,-1.045,Unknown
1601655855540,0.655,-0.899,0.61,0.001,0.061,-1.047,Unknown
1601655855549,0.198,-1.57,1.021,0.005,0.068,-1.049,Unknown
1601655855559,-0.015,-1.951,0.899,0.008,0.073,-1.049,Unknown
1601655855570,0.091,-1.951,0.473,0.008,0.075,-1.047,Unknown
1601655855580,0.473,-0.793,-0.03,0.009,0.073,-1.047,Unknown
1601655855590,0.32,0.274,-0.305,0.01,0.069,-1.044,Unknown
1601655855599,0.091,0.061,-0.396,0.005,0.069,-1.047,Unknown
1601655855609,0.259,-0.625,-0.503,0.004,0.066,-1.05,Unknown
1601655855619,0.229,-1.463,-0.518,0.002,0.067,-1.043,Unknown
1601655855630,-0.549,0.427,-0.305,-0.003,0.062,-1.037,Unknown
1601655855638,-2.409,4.192,0.366,-0.001,0.057,-1.034,Unknown
1601655855649,-2.241,4.253,1.006,0.002,0.062,-1.041,Unknown
1601655855659,-0.427,0.534,1.143,0.006,0.067,-1.043,Unknown
1601655855669,0.32,-2.393,0.96,0.01,0.073,-1.042,Unknown
1601655855679,0.03,-3.125,0.564,0.011,0.072,-1.044,Unknown
1601655855688,0.061,-2.896,0.152,0.004,0.072,-1.048,Unknown
1601655855699,1.067,-2.073,-0.061,0.001,0.07,-1.042,Unknown
1601655855709,1.692,-1.524,-0.229,0.003,0.067,-1.052,Unknown
1601655855719,2.287,-4.116,-0.381,0.005,0.066,-1.053,Unknown
1601655855729,2.515,-5.244,-0.564,0.003,0.068,-1.051,Unknown
1601655855738,1.799,-3.43,-0.396,0.001,0.068,-1.053,Unknown
1601655855748,1.128,-2.088,0.122,0.002,0.066,-1.058,Unknown
1601655855759,0.32,-3.171,0.015,0.007,0.068,-1.052,Unknown
1601655855769,-0.518,-3.491,-0.229,0.004,0.069,-1.036,Unknown
1601655855778,-1.037,-0.823,0.259,-0.0,0.062,-1.022,Unknown
1601655855788,-1.845,4.512,1.159,-0.004,0.06,-1.026,Unknown
1601655855798,-2.271,7.881,1.951,-0.006,0.054,-1.033,Unknown
1601655855808,-2.485,8.095,2.652,-0.003,0.057,-1.042,Unknown
1601655855819,-1.723,6.235,2.942,0.001,0.063,-1.039,Unknown
1601655855827,-0.259,3.704,2.226,0.007,0.071,-1.043,Unknown
1601655855838,0.716,1.22,1.098,0.015,0.071,-1.043,Unknown
1601655855848,0.884,0.381,0.229,0.014,0.068,-1.038,Unknown
1601655855858,0.137,2.332,0.107,0.012,0.062,-1.038,Unknown
1601655855867,-0.473,4.04,0.198,0.006,0.064,-1.049,Unknown
1601655855877,0.396,2.637,0.091,0.007,0.068,-1.063,Unknown
1601655855887,1.585,-0.869,-0.229,0.008,0.066,-1.064,Unknown
1601655855898,1.021,-1.387,-0.335,0.007,0.064,-1.054,Unknown
1601655855908,-1.479,2.424,0.244,0.007,0.061,-1.051,Unknown
1601655855917,-2.53,4.619,0.945,0.009,0.067,-1.051,Unknown
1601655855927,-1.585,2.988,1.052,0.01,0.068,-1.047,Unknown
1601655855937,-1.159,1.28,0.976,0.01,0.07,-1.042,Unknown
1601655855948,-1.189,1.113,0.534,0.012,0.074,-1.042,Unknown
1601655855956,-1.357,1.159,-0.015,0.011,0.071,-1.041,Unknown
1601655855967,-1.021,-0.777,-0.488,0.009,0.066,-1.048,Unknown
1601655855977,-0.244,-3.155,-0.579,0.002,0.059,-1.039,Unknown
1601655855987,-0.396,-0.366,-0.061,-0.01,0.052,-1.03,Unknown
1601655855997,-1.753,4.863,1.662,-0.01,0.046,-1.04,Unknown
1601655856006,-2.332,5.686,2.973,-0.0,0.058,-1.047,Unknown
1601655856016,-1.25,2.835,2.607,0.01,0.068,-1.052,Unknown
1601655856027,-0.29,-0.213,1.784,0.017,0.077,-1.052,Unknown
1601655856037,-0.03,-1.662,0.671,0.021,0.078,-1.046,Unknown
1601655856046,0.152,-1.966,-0.152,0.021,0.076,-1.046,Unknown
1601655856056,0.625,-1.768,-0.534,0.021,0.071,-1.045,Unknown
1601655856066,0.564,-1.159,-0.412,0.018,0.068,-1.043,Unknown
1601655856076,0.183,-0.198,-0.198,0.011,0.061,-1.041,Unknown
1601655856087,-1.357,2.424,0.899,0.004,0.057,-1.047,Unknown
1601655856096,-2.53,3.613,1.646,0.009,0.061,-1.05,Unknown
1601655856106,-2.058,1.768,1.372,0.014,0.071,-1.052,Unknown
1601655856116,-1.174,0.518,0.579,0.015,0.07,-1.036,Unknown
1601655856126,-1.723,2.5,0.32,0.019,0.066,-1.027,Unknown
1601655856135,-1.723,3.765,0.107,0.018,0.073,-1.039,Unknown
1601655856145,-0.381,1.448,-0.457,0.018,0.071,-1.05,Unknown
1601655856156,0.899,-2.622,-1.067,0.015,0.07,-1.05,Unknown
1601655856166,1.235,-4.771,-1.509,0.011,0.071,-1.053,Unknown
1601655856176,1.402,-4.848,-1.982,0.006,0.07,-1.054,Unknown
1601655856185,1.692,-5.122,-2.18,0.004,0.061,-1.053,Unknown
1601655856195,1.28,-6.494,-1.509,0.003,0.058,-1.042,Unknown
1601655856205,0.015,-2.973,-0.93,-0.0,0.057,-1.034,Unknown
1601655856216,-1.021,1.204,-0.396,0.003,0.063,-1.045,Unknown
1601655856224,-1.174,0.335,-0.549,0.007,0.071,-1.054,Unknown
1601655856235,-0.137,-3.582,-1.463,0.01,0.071,-1.052,Unknown
1601655856245,1.22,-6.357,-2.5,0.011,0.077,-1.047,Unknown
1601655856255,3.034,-8.171,-4.695,0.019,0.084,-1.043,right curl
1601655856265,5.747,-10.762,-7.973,0.011,0.071,-1.048,right curl
1601655856274,6.25,-11.418,-7.332,-0.002,0.051,-1.042,right curl
1601655856284,5.625,-9.04,-5.732,-0.003,0.054,-1.015,right curl
1601655856295,2.21,-0.32,-3.72,-0.012,0.049,-1.023,right curl
1601655856305,-0.503,5.351,-1.905,-0.009,0.052,-1.046,right curl
1601655856314,0.107,2.47,-0.671,-0.006,0.052,-1.053,right curl
1601655856324,1.509,-3.216,-0.152,-0.002,0.062,-1.046,right curl
1601655856334,1.966,-4.649,-0.701,-0.001,0.063,-1.032,right curl
1601655856345,1.128,-0.564,-1.128,0.001,0.064,-1.035,right curl
1601655856355,0.625,2.942,-1.372,-0.002,0.066,-1.044,right curl
1601655856364,1.372,2.744,-1.585,-0.004,0.06,-1.047,right curl
1601655856374,2.18,-0.32,-1.357,-0.006,0.054,-1.052,right curl
1601655856384,2.363,-2.683,-1.037,-0.006,0.055,-1.056,right curl
1601655856394,1.357,-3.963,-0.762,-0.007,0.058,-1.056,right curl
1601655856403,0.396,-3.628,-0.213,-0.009,0.053,-1.051,right curl
1601655856413,-0.564,-1.784,0.396,-0.005,0.058,-1.046,right curl
1601655856424,0.046,-0.823,0.351,-0.001,0.061,-1.043,right curl
1601655856434,1.159,-1.509,0.122,0.004,0.055,-1.044,right curl
1601655856444,1.143,-1.845,0.061,-0.002,0.057,-1.038,right curl
1601655856453,-0.625,2.21,-0.168,-0.008,0.049,-1.033,right curl
1601655856463,-2.256,5.808,0.259,-0.009,0.05,-1.033,right curl
1601655856473,-0.945,5.046,0.655,-0.005,0.051,-1.042,right curl
1601655856484,1.463,1.189,0.732,-0.001,0.056,-1.047,right curl
1601655856492,1.966,-1.357,0.396,0.005,0.057,-1.045,right curl
1601655856503,-0.076,0.305,0.244,0.003,0.055,-1.035,right curl
1601655856513,-2.134,4.482,0.412,0.001,0.057,-1.035,right curl
1601655856523,-2.134,6.463,0.412,0.0,0.059,-1.047,right curl
1601655856533,-0.777,3.735,0.107,0.003,0.064,-1.056,right curl
1601655856542,0.96,-1.738,-0.716,0.008,0.067,-1.066,right curl
1601655856553,1.707,-5.534,-1.753,0.008,0.064,-1.059,right curl
1601655856563,0.701,-4.985,-2.652,0.003,0.067,-1.06,right curl
1601655856573,-0.351,-1.448,-3.308,0.005,0.064,-1.051,right curl
1601655856582,-0.808,0.884,-3.201,0.013,0.062,-1.048,right curl
1601655856592,0.152,-0.503,-3.72,0.02,0.075,-1.055,right curl
1601655856602,1.296,-4.329,-6.189,0.039,0.089,-1.069,right curl
1601655856613,0.442,-8.811,-10.366,0.053,0.104,-1.097,right curl
1601655856623,-0.915,-17.226,-16.387,0.065,0.126,-1.169,right curl
1601655856632,0.899,-40.137,-25.716,0.053,0.132,-1.25,right curl
1601655856642,4.009,-70.716,-34.162,0.035,0.126,-1.272,right curl
1601655856652,2.851,-95.32,-37.302,0.025,0.111,-1.263,right curl
1601655856662,0.716,-115.823,-39.116,-0.005,0.107,-1.211,right curl
1601655856671,3.918,-128.735,-46.646,-0.03,0.098,-1.194,right curl
1601655856681,9.375,-144.39,-50.518,-0.049,0.099,-1.191,right curl
1601655856692,15.518,-163.11,-55.259,-0.069,0.098,-1.181,right curl
1601655856702,19.314,-180.488,-61.357,-0.094,0.096,-1.16,right curl
1601655856712,19.39,-193.598,-66.646,-0.126,0.061,-1.156,right curl
1601655856721,12.317,-202.332,-67.287,-0.161,0.058,-1.182,right curl
1601655856731,1.616,-215.457,-70.015,-0.165,0.058,-1.187,right curl
1601655856742,-4.771,-236.402,-76.006,-0.179,0.055,-1.137,right curl
1601655856752,-0.915,-260.762,-82.012,-0.205,0.073,-1.108,right curl
1601655856761,12.866,-291.616,-89.268,-0.223,0.077,-1.089,right curl
1601655856771,30.671,-328.064,-97.957,-0.238,0.063,-1.081,right curl
1601655856781,54.909,-377.256,-106.402,-0.273,0.03,-1.156,right curl
1601655856791,93.735,-464.177,-109.71,-0.34,-0.008,-1.258,right curl
1601655856802,149.421,-499.497,-117.195,-0.423,-0.033,-1.276,right curl
1601655856810,218.537,-499.497,-127.607,-0.474,-0.114,-1.181,right curl
1601655856821,279.223,-498.582,-121.982,-0.496,-0.174,-0.995,right curl
1601655856831,294.024,-499.497,-95.351,-0.604,-0.156,-0.739,right curl
1601655856841,254.695,-499.497,-61.402,-0.669,-0.142,-0.525,right curl
1601655856850,181.402,-499.497,-29.802,-0.693,-0.137,-0.298,right curl
1601655856860,84.939,-499.497,-3.72,-0.72,-0.128,0.024,right curl
1601655856870,-28.963,-467.058,13.521,-0.639,-0.11,0.405,right curl
1601655856881,-128.46,-242.881,24.771,-0.586,-0.151,0.718,right curl
1601655856891,-174.451,1.814,29.848,-0.587,-0.278,0.769,right curl
1601655856900,-172.942,128.11,38.354,-0.551,-0.333,0.681,right curl
1601655856910,-129.375,146.509,38.354,-0.515,-0.322,0.597,right curl
1601655856920,-62.088,95.427,24.421,-0.479,-0.253,0.472,right curl
1601655856930,-6.113,27.226,6.372,-0.504,-0.189,0.355,right curl
1601655856939,26.448,-21.372,-11.677,-0.608,-0.16,0.251,right curl
1601655856950,30.716,-32.424,-25.107,-0.737,-0.136,0.164,right curl
1601655856960,11.326,-11.402,-27.866,-0.855,-0.157,0.122,right curl
1601655856970,-24.024,27.226,-21.082,-0.949,-0.205,0.116,right curl
1601655856980,-59.101,68.857,-13.14,-0.981,-0.22,0.148,right curl
1601655856989,-78.064,92.866,-11.921,-0.985,-0.249,0.171,right curl
1601655856999,-79.146,89.863,-17.82,-1.03,-0.293,0.157,right curl
1601655857010,-64.436,62.485,-27.012,-1.104,-0.356,0.125,right curl
1601655857020,-43.247,20.595,-33.323,-1.188,-0.423,0.13,right curl
1601655857029,-23.354,-11.341,-33.064,-1.269,-0.447,0.167,right curl
1601655857039,-8.811,-18.46,-25.335,-1.305,-0.436,0.199,right curl
1601655857049,-3.491,0.732,-11.402,-1.328,-0.418,0.208,right curl
1601655857059,-7.393,41.113,3.841,-1.312,-0.406,0.164,right curl
1601655857070,-12.729,80.64,14.573,-1.259,-0.374,0.085,right curl
1601655857078,-12.774,100.976,25.534,-1.208,-0.33,-0.014,right curl
1601655857089,-8.78,97.5,31.265,-1.172,-0.306,-0.115,right curl
1601655857099,1.707,74.497,28.979,-1.139,-0.274,-0.22,right curl
1601655857109,8.232,42.47,27.119,-1.098,-0.245,-0.268,right curl
1601655857118,7.134,18.963,24.649,-1.073,-0.219,-0.286,right curl
1601655857128,4.024,5.473,20.899,-1.05,-0.198,-0.288,right curl
1601655857138,-0.473,-0.396,18.735,-1.023,-0.193,-0.256,right curl
1601655857149,-9.131,5.152,19.436,-0.997,-0.212,-0.204,right curl
1601655857159,-21.692,21.997,23.567,-0.985,-0.22,-0.164,right curl
1601655857168,-33.674,43.415,27.896,-0.983,-0.198,-0.144,right curl
1601655857178,-39.543,61.723,27.942,-0.953,-0.184,-0.138,right curl
1601655857188,-36.341,68.841,25.29,-0.952,-0.165,-0.18,right curl
1601655857199,-20.442,58.872,18.201,-0.968,-0.144,-0.301,right curl
1601655857207,-1.098,34.68,14.558,-0.979,-0.11,-0.422,right curl
1601655857218,8.384,10.64,12.866,-0.97,-0.088,-0.495,right curl
1601655857228,7.18,-5.96,7.912,-0.964,-0.081,-0.546,right curl
1601655857238,-2.622,-17.073,2.713,-0.99,-0.078,-0.573,right curl
1601655857248,-23.979,-14.223,1.829,-1.01,-0.091,-0.546,right curl
1601655857257,-48.918,3.506,2.637,-1.009,-0.104,-0.538,right curl
1601655857267,-67.409,23.155,5.64,-1.041,-0.123,-0.559,right curl
1601655857278,-81.189,36.631,7.866,-1.059,-0.125,-0.627,right curl
1601655857288,-89.939,36.204,5.747,-1.055,-0.117,-0.754,right curl
1601655857298,-89.848,3.293,-2.134,-1.061,-0.117,-0.891,right curl
1601655857307,-95.274,-47.835,-8.628,-1.061,-0.131,-0.893,right curl
1601655857317,-111.159,-82.744,-14.619,-1.073,-0.166,-0.813,right curl
1601655857327,-130.015,-95.518,-16.845,-1.1,-0.202,-0.703,right curl
1601655857338,-148.201,-82.866,-11.524,-1.093,-0.207,-0.622,right curl
1601655857346,-161.997,-51.966,-3.11,-1.077,-0.21,-0.622,right curl
1601655857357,-177.622,-24.055,3.308,-1.071,-0.225,-0.632,right curl
1601655857367,-200.869,2.988,9.512,-1.072,-0.258,-0.622,right curl
1601655857377,-220.686,25.64,15.396,-1.096,-0.276,-0.652,right curl
1601655857387,-231.143,27.912,19.71,-1.106,-0.281,-0.697,right curl
1601655857396,-234.101,12.851,20.579,-1.057,-0.248,-0.724,right curl
1601655857407,-225.716,-6.326,15.213,-1.048,-0.25,-0.805,right curl
1601655857417,-217.713,-31.814,8.186,-1.062,-0.296,-0.858,right curl
1601655857427,-223.979,-43.994,8.415,-1.047,-0.347,-0.843,right curl
1601655857436,-241.448,-34.756,15.122,-1.017,-0.387,-0.844,right curl
1601655857446,-259.284,-23.369,19.085,-0.973,-0.402,-0.845,right curl
1601655857456,-272.393,-22.698,18.43,-0.926,-0.411,-0.836,right curl
1601655857467,-279.985,-28.704,16.296,-0.916,-0.434,-0.818,right curl
1601655857477,-289.497,-32.195,12.881,-0.952,-0.481,-0.782,right curl
1601655857486,-301.372,-30.213,12.226,-1.042,-0.563,-0.739,right curl
1601655857496,-309.985,-24.634,15.0,-1.122,-0.604,-0.715,right curl
1601655857506,-314.314,-26.174,19.284,-1.126,-0.627,-0.665,right curl
1601655857516,-315.29,-26.021,27.973,-1.12,-0.629,-0.576,right curl
1601655857525,-312.744,-16.006,35.488,-1.059,-0.593,-0.525,right curl
1601655857535,-311.402,-5.305,37.927,-0.994,-0.58,-0.532,right curl
1601655857546,-311.25,1.677,34.787,-0.952,-0.579,-0.576,right curl
1601655857556,-313.308,4.207,30.335,-0.91,-0.595,-0.606,right curl
1601655857566,-310.823,-0.64,27.104,-0.904,-0.594,-0.632,right curl
1601655857575,-300.747,-11.479,26.067,-0.798,-0.537,-0.666,right curl
1601655857585,-301.86,-16.128,23.72,-0.668,-0.515,-0.666,right curl
1601655857596,-315.61,-3.643,18.689,-0.584,-0.541,-0.626,right curl
1601655857606,-330.96,18.689,11.25,-0.577,-0.584,-0.603,right curl
1601655857615,-340.0,28.628,1.052,-0.574,-0.585,-0.564,right curl
1601655857625,-340.442,19.314,-14.802,-0.577,-0.586,-0.471,right curl
1601655857635,-328.155,-0.03,-30.046,-0.616,-0.61,-0.363,right curl
1601655857645,-310.762,-10.701,-38.034,-0.672,-0.633,-0.288,right curl
1601655857656,-294.588,-12.439,-39.451,-0.658,-0.614,-0.281,right curl
1601655857664,-286.738,-9.299,-38.384,-0.616,-0.609,-0.31,right curl
1601655857675,-289.543,-3.079,-42.713,-0.627,-0.6,-0.296,right curl
1601655857685,-292.454,-0.96,-50.213,-0.624,-0.605,-0.219,right curl
1601655857695,-289.131,-2.5,-59.924,-0.658,-0.61,-0.157,right curl
1601655857704,-276.296,-8.277,-70.884,-0.716,-0.61,-0.149,right curl
1601655857714,-263.11,-17.851,-82.271,-0.769,-0.654,-0.132,right curl
1601655857724,-255.884,-25.32,-91.905,-0.845,-0.73,-0.053,right curl
1601655857735,-245.168,-29.436,-95.701,-1.009,-0.819,0.011,right curl
1601655857745,-226.555,-35.93,-89.375,-1.141,-0.874,0.042,right curl
1601655857754,-214.024,-35.838,-79.238,-1.173,-0.892,0.134,right curl
1601655857764,-211.463,-27.088,-75.274,-1.159,-0.885,0.235,right curl
1601655857774,-206.265,-21.784,-73.43,-1.19,-0.917,0.329,right curl
1601655857784,-195.869,-24.71,-73.643,-1.212,-0.951,0.432,right curl
1601655857793,-182.866,-30.29,-70.93,-1.225,-0.927,0.567,right curl
1601655857804,-162.378,-32.5,-69.466,-1.223,-0.913,0.71,right curl
1601655857814,-133.171,-35.137,-69.741,-1.247,-0.945,0.817,right curl
1601655857824,-99.665,-37.652,-64.695,-1.278,-0.961,0.888,right curl
1601655857834,-69.101,-33.506,-53.262,-1.31,-0.966,0.888,right curl
1601655857843,-43.049,-27.271,-37.439,-1.328,-0.942,0.844,right curl
1601655857853,-21.082,-20.564,-18.125,-1.302,-0.873,0.814,right curl
1601655857864,-5.198,-9.527,-0.03,-1.249,-0.79,0.787,right curl
1601655857874,8.628,3.216,14.192,-1.19,-0.713,0.751,right curl
1601655857883,26.311,10.595,23.369,-1.124,-0.643,0.691,right curl
1601655857893,46.418,10.595,29.223,-1.069,-0.6,0.616,right curl
1601655857903,64.695,7.21,32.317,-1.016,-0.565,0.538,right curl
1601655857913,80.777,1.951,32.119,-0.972,-0.539,0.461,right curl
1601655857924,96.463,-4.634,28.506,-0.941,-0.508,0.404,right curl
1601655857932,112.241,-12.363,23.78,-0.943,-0.519,0.379,right curl
1601655857943,126.905,-18.415,21.433,-0.947,-0.542,0.362,right curl
1601655857953,139.36,-20.229,22.317,-0.951,-0.557,0.334,right curl
1601655857963,149.055,-19.588,24.787,-0.942,-0.554,0.302,right curl
1601655857972,156.418,-15.854,26.738,-0.919,-0.536,0.271,right curl
1601655857982,162.82,-11.707,28.125,-0.891,-0.511,0.252,right curl
1601655857992,169.573,-7.226,26.28,-0.87,-0.488,0.243,right curl
1601655858003,176.418,-5.03,21.418,-0.857,-0.497,0.233,right curl
1601655858013,182.729,-8.186,14.36,-0.889,-0.511,0.24,right curl
1601655858022,191.128,-12.622,7.439,-0.909,-0.534,0.269,right curl
1601655858032,199.36,-13.582,3.262,-0.907,-0.543,0.282,right curl
1601655858042,206.159,-10.427,0.457,-0.882,-0.549,0.27,right curl
1601655858053,213.75,-6.372,-1.692,-0.863,-0.557,0.266,right curl
1601655858061,225.427,-5.915,-4.055,-0.849,-0.572,0.256,right curl
1601655858072,241.311,-8.018,-6.189,-0.842,-0.582,0.222,right curl
1601655858082,258.399,-11.753,-9.192,-0.861,-0.61,0.183,right curl
1601655858092,272.058,-10.64,-10.122,-0.891,-0.615,0.135,right curl
1601655858102,280.747,-0.03,-5.61,-0.906,-0.627,0.043,right curl
1601655858111,282.287,14.726,1.098,-0.899,-0.603,-0.09,right curl
1601655858121,275.518,27.774,5.716,-0.874,-0.556,-0.202,right curl
1601655858132,261.982,33.171,4.329,-0.843,-0.506,-0.239,right curl
1601655858142,250.122,33.034,-0.915,-0.815,-0.485,-0.206,right curl
1601655858151,243.491,30.168,-6.768,-0.787,-0.463,-0.157,right curl
1601655858161,244.04,28.43,-12.729,-0.801,-0.476,-0.143,right curl
1601655858171,253.064,18.43,-20.091,-0.831,-0.508,-0.147,right curl
1601655858181,268.155,-1.707,-26.265,-0.846,-0.53,-0.123,right curl
1601655858192,284.893,-13.872,-28.902,-0.888,-0.561,-0.108,right curl
1601655858200,296.723,-7.835,-26.052,-0.921,-0.595,-0.111,right curl
1601655858211,296.875,16.326,-15.64,-0.915,-0.602,-0.127,right curl
1601655858221,286.235,52.652,-1.387,-0.886,-0.574,-0.164,right curl
1601655858231,271.616,88.262,10.366,-0.842,-0.535,-0.252,right curl
1601655858240,259.497,105.259,14.009,-0.813,-0.483,-0.356,right curl
1601655858250,253.704,96.585,8.034,-0.793,-0.456,-0.413,right curl
1601655858261,260.244,68.826,-2.759,-0.824,-0.461,-0.438,right curl
1601655858271,278.049,32.18,-13.506,-0.877,-0.488,-0.44,right curl
1601655858281,303.232,-4.832,-20.503,-0.925,-0.493,-0.433,right curl
1601655858290,318.628,-27.973,-24.482,-0.962,-0.527,-0.377,right curl
1601655858300,306.387,-3.049,-17.744,-1.005,-0.571,-0.252,right curl
1601655858310,279.131,70.381,1.448,-0.993,-0.577,-0.198,right curl
1601655858321,255.549,144.223,23.323,-0.944,-0.539,-0.238,right curl
1601655858329,244.482,186.494,36.631,-0.885,-0.493,-0.375,right curl
1601655858340,242.149,187.546,39.939,-0.844,-0.45,-0.532,right curl
1601655858350,241.921,161.402,34.726,-0.849,-0.437,-0.64,right curl
1601655858360,244.68,125.03,26.204,-0.858,-0.423,-0.722,right curl
1601655858370,248.659,86.997,16.601,-0.874,-0.402,-0.755,right curl
1601655858379,252.881,54.375,7.256,-0.924,-0.398,-0.75,right curl
1601655858389,250.0,37.241,2.759,-0.978,-0.407,-0.678,right curl
1601655858400,237.393,48.857,6.082,-0.987,-0.419,-0.591,right curl
1601655858410,223.232,80.076,15.808,-0.944,-0.411,-0.54,right curl
1601655858419,210.564,118.293,20.976,-0.868,-0.36,-0.564,right curl
1601655858429,202.271,143.445,26.555,-0.829,-0.295,-0.713,right curl
1601655858439,191.677,145.0,27.485,-0.848,-0.262,-0.946,right curl
1601655858450,175.793,126.524,22.287,-0.909,-0.195,-1.161,right curl
1601655858460,159.497,95.579,16.28,-0.993,-0.117,-1.3,right curl
1601655858469,136.966,63.293,10.076,-1.059,-0.078,-1.317,right curl
1601655858479,115.076,40.442,5.976,-1.065,-0.065,-1.247,right curl
1601655858489,96.555,33.841,4.665,-1.062,-0.067,-1.163,right curl
1601655858499,77.957,44.39,6.418,-1.079,-0.042,-1.117,right curl
1601655858508,61.28,58.902,8.659,-1.106,-0.022,-1.104,right curl
1601655858518,49.421,64.527,10.107,-1.125,-0.024,-1.094,right curl
1601655858529,41.951,60.122,12.271,-1.11,-0.01,-1.09,right curl
1601655858539,35.854,51.037,14.055,-1.075,0.012,-1.084,right curl
1601655858549,27.195,42.851,13.476,-1.05,0.019,-1.058,right curl
1601655858558,16.204,33.399,12.271,-1.022,0.008,-1.019,right curl
1601655858568,6.067,20.777,10.823,-0.985,0.005,-0.965,right curl
1601655858578,-4.451,10.549,8.704,-0.938,0.017,-0.886,right curl
1601655858589,-14.848,5.442,5.777,-0.904,0.013,-0.802,right curl
1601655858597,-24.085,5.777,4.223,-0.89,-0.008,-0.717,right curl
1601655858608,-32.546,9.238,3.674,-0.881,-0.03,-0.628,right curl
1601655858618,-37.378,10.686,3.232,-0.886,-0.061,-0.538,right curl
1601655858628,-36.28,7.18,3.323,-0.885,-0.089,-0.455,right curl
1601655858638,-31.753,1.753,2.729,-0.89,-0.113,-0.391,right curl
1601655858647,-26.28,-3.415,0.747,-0.895,-0.111,-0.338,right curl
1601655858658,-19.466,-7.119,-2.165,-0.876,-0.116,-0.315,right curl
1601655858668,-13.567,-8.049,-5.015,-0.873,-0.129,-0.333,right curl
1601655858678,-13.796,-6.387,-5.762,-0.894,-0.122,-0.35,right curl
1601655858688,-18.46,-0.61,-6.021,-0.902,-0.117,-0.343,right curl
1601655858697,-22.256,4.741,-8.079,-0.932,-0.11,-0.337,right curl
1601655858707,-24.802,4.375,-10.777,-0.963,-0.129,-0.323,right curl
1601655858718,-25.61,1.402,-12.652,-0.981,-0.138,-0.303,right curl
1601655858728,-23.887,-0.96,-13.018,-0.998,-0.162,-0.281,right curl
1601655858737,-19.97,-1.585,-12.073,-1.025,-0.176,-0.269,right curl
1601655858747,-13.399,-3.018,-8.811,-1.031,-0.181,-0.266,right curl
1601655858757,-7.805,-4.146,-6.098,-1.024,-0.164,-0.272,right curl
1601655858767,-5.229,-2.241,-4.848,-1.018,-0.156,-0.285,right curl
1601655858778,-3.72,1.113,-3.216,-1.012,-0.15,-0.303,right curl
1601655858786,-2.149,1.982,-1.57,-0.999,-0.14,-0.333,right curl
1601655858797,-1.387,0.046,-1.707,-0.987,-0.133,-0.347,right curl
1601655858807,-0.915,-1.235,-2.713,-0.986,-0.134,-0.348,right curl
1601655858817,-0.595,-0.686,-3.11,-0.98,-0.137,-0.355,right curl
1601655858826,-0.152,0.168,-3.018,-0.986,-0.137,-0.364,right curl
1601655858836,0.793,0.671,-3.521,-1.0,-0.136,-0.36,right curl
1601655858846,3.018,1.677,-2.866,-0.994,-0.137,-0.359,right curl
1601655858857,5.915,3.049,-0.732,-0.978,-0.126,-0.379,right curl
1601655858867,7.378,5.686,-0.595,-0.965,-0.095,-0.434,right curl
1601655858876,6.585,7.409,-2.271,-0.969,-0.094,-0.468,right curl
1601655858886,3.186,8.018,-4.39,-0.985,-0.105,-0.462,right curl
1601655858896,0.03,8.247,-5.808,-0.985,-0.111,-0.443,right curl
1601655858907,-1.006,6.25,-5.351,-0.974,-0.123,-0.432,right curl
1601655858915,-1.341,3.323,-3.963,-0.969,-0.129,-0.431,right curl
1601655858926,-2.47,0.96,-2.012,-0.968,-0.127,-0.449,right curl
1601655858936,-5.396,1.402,1.311,-0.954,-0.116,-0.453,right curl
1601655858946,-8.598,5.198,3.689,-0.94,-0.101,-0.442,right curl
1601655858956,-9.588,9.756,4.207,-0.933,-0.091,-0.436,right curl
1601655858965,-8.887,10.518,4.024,-0.926,-0.09,-0.437,right curl
1601655858975,-8.049,7.439,3.125,-0.926,-0.092,-0.43,right curl
1601655858986,-7.226,3.079,2.53,-0.928,-0.099,-0.436,right curl
1601655858996,-6.57,-0.762,2.134,-0.932,-0.092,-0.447,right curl
1601655859005,-6.997,-2.348,1.448,-0.93,-0.091,-0.451,right curl
1601655859015,-7.896,-2.576,0.884,-0.921,-0.094,-0.455,right curl
1601655859025,-8.506,-2.881,0.335,-0.916,-0.096,-0.454,right curl
1601655859035,-9.741,-2.881,-0.32,-0.925,-0.099,-0.445,right curl
1601655859046,-11.204,-1.921,-0.351,-0.935,-0.1,-0.443,right curl
1601655859054,-11.829,-0.366,-0.503,-0.933,-0.097,-0.452,right curl
1601655859065,-11.723,1.098,-1.159,-0.939,-0.087,-0.484,right curl
1601655859075,-11.631,1.25,-2.622,-0.95,-0.077,-0.514,right curl
1601655859085,-13.476,-0.305,-4.68,-0.957,-0.082,-0.522,right curl
1601655859094,-15.595,-1.875,-5.838,-0.956,-0.087,-0.522,right curl
