epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az,Activity
1601655833267,0.366,0.091,-0.229,-0.234,-0.081,0.957,Unknown
1601655833278,-0.107,0.122,-0.61,-0.234,-0.079,0.961,Unknown
1601655833288,-0.869,-1.28,-1.037,-0.233,-0.084,0.957,Unknown
1601655833298,-1.845,-2.195,-0.793,-0.223,-0.091,0.965,Unknown
1601655833307,-2.317,-1.174,0.091,-0.222,-0.092,0.958,Unknown
1601655833317,-2.088,0.061,0.808,-0.224,-0.09,0.948,Unknown
1601655833327,-1.052,1.936,1.494,-0.228,-0.08,0.94,Unknown
1601655833338,-0.381,2.652,1.616,-0.233,-0.073,0.942,Unknown
1601655833348,-0.595,2.82,1.296,-0.233,-0.075,0.945,Unknown
1601655833357,-0.869,3.095,0.945,-0.228,-0.08,0.936,Unknown
1601655833367,-0.061,2.973,0.823,-0.226,-0.077,0.927,Unknown
1601655833377,0.168,1.616,0.335,-0.23,-0.077,0.925,Unknown
1601655833387,-0.061,-1.921,-0.915,-0.233,-0.08,0.937,Unknown
1601655833396,-1.098,-4.71,-1.845,-0.221,-0.087,0.95,Unknown
1601655833407,-1.25,-3.826,-1.753,-0.213,-0.092,0.955,Unknown
1601655833417,-0.701,-2.652,-1.037,-0.224,-0.091,0.955,Unknown
1601655833427,-0.625,-2.241,-0.168,-0.217,-0.093,0.972,Unknown
1601655833437,-0.32,0.503,0.991,-0.219,-0.1,0.977,Unknown
1601655833446,-0.534,2.835,1.845,-0.223,-0.104,0.97,Unknown
1601655833456,-0.869,3.933,2.241,-0.231,-0.104,0.969,Unknown
1601655833467,-1.098,4.405,1.845,-0.244,-0.097,0.962,Unknown
1601655833477,-1.509,2.424,0.701,-0.254,-0.086,0.955,Unknown
1601655833486,-2.851,-1.814,0.061,-0.243,-0.08,0.955,Unknown
1601655833496,-3.872,-1.799,0.137,-0.226,-0.086,0.94,Unknown
1601655833506,-2.348,0.152,0.152,-0.228,-0.08,0.922,Unknown
1601655833516,-1.433,-0.808,-0.03,-0.225,-0.074,0.925,Unknown
1601655833527,-1.433,-0.991,0.091,-0.216,-0.078,0.925,Unknown
1601655833535,-0.595,0.32,-0.107,-0.225,-0.083,0.917,Unknown
1601655833546,-0.671,-1.189,0.03,-0.229,-0.077,0.928,Unknown
1601655833556,-1.433,-1.845,0.198,-0.228,-0.08,0.935,Unknown
1601655833566,-0.838,-0.64,0.091,-0.236,-0.08,0.93,Unknown
1601655833575,0.305,-0.396,-0.168,-0.24,-0.079,0.94,Unknown
1601655833585,0.381,-0.046,-0.091,-0.233,-0.081,0.958,Unknown
1601655833596,0.61,1.28,-0.183,-0.234,-0.085,0.96,Unknown
1601655833606,0.534,0.732,-0.625,-0.234,-0.095,0.958,Unknown
1601655833616,-0.274,0.183,-0.457,-0.222,-0.1,0.968,Unknown
1601655833625,-0.412,0.991,-0.107,-0.227,-0.097,0.959,Unknown
1601655833635,-0.976,0.335,-0.03,-0.232,-0.097,0.95,Unknown
1601655833645,-1.052,-0.579,-0.534,-0.232,-0.094,0.945,Unknown
1601655833656,-1.372,-1.753,-1.082,-0.224,-0.095,0.948,Unknown
1601655833664,-1.189,-1.631,-1.021,-0.22,-0.094,0.949,Unknown
1601655833675,-1.524,-1.113,-0.29,-0.215,-0.095,0.954,Unknown
1601655833685,-1.601,-0.061,0.579,-0.21,-0.097,0.943,Unknown
1601655833695,-1.021,1.631,1.235,-0.21,-0.091,0.936,Unknown
1601655833705,-0.762,2.104,1.524,-0.215,-0.087,0.942,Unknown
1601655833714,-0.777,1.966,1.524,-0.223,-0.09,0.945,Unknown
1601655833724,-0.061,1.082,0.991,-0.236,-0.083,0.943,Unknown
1601655833735,-0.335,0.046,0.503,-0.234,-0.084,0.95,Unknown
1601655833745,0.03,0.823,0.366,-0.228,-0.082,0.955,Unknown
1601655833755,0.64,1.89,0.351,-0.229,-0.081,0.948,Unknown
1601655833764,0.869,1.494,0.427,-0.228,-0.077,0.95,Unknown
1601655833774,0.427,0.396,0.274,-0.225,-0.077,0.954,Unknown
1601655833784,-0.305,-0.274,0.046,-0.226,-0.083,0.95,Unknown
1601655833795,-0.915,-0.503,-0.03,-0.221,-0.085,0.95,Unknown
1601655833804,-1.052,-0.457,-0.122,-0.227,-0.085,0.954,Unknown
1601655833814,-1.265,-0.213,-0.107,-0.229,-0.092,0.954,Unknown
1601655833824,-0.96,0.945,0.107,-0.235,-0.089,0.951,Unknown
1601655833834,-1.021,0.381,0.137,-0.238,-0.086,0.949,Unknown
1601655833845,-1.326,0.122,0.335,-0.225,-0.094,0.953,Unknown
1601655833853,-0.503,2.317,1.037,-0.223,-0.094,0.946,Unknown
1601655833864,-0.213,3.232,1.631,-0.224,-0.089,0.943,Unknown
1601655833874,-0.534,3.521,1.54,-0.222,-0.091,0.935,Unknown
1601655833884,-0.351,2.896,1.494,-0.222,-0.09,0.93,Unknown
1601655833893,0.046,2.454,1.814,-0.219,-0.091,0.935,Unknown
1601655833903,0.549,3.216,2.119,-0.217,-0.094,0.938,Unknown
1601655833913,1.631,2.805,1.707,-0.235,-0.088,0.933,Unknown
1601655833924,0.488,-1.28,0.579,-0.238,-0.081,0.948,Unknown
1601655833934,-1.463,-3.125,0.137,-0.223,-0.088,0.959,Unknown
1601655833943,-1.265,-1.433,0.442,-0.23,-0.09,0.948,Unknown
1601655833953,-0.473,-0.686,0.808,-0.236,-0.087,0.948,Unknown
1601655833963,0.168,-0.427,0.381,-0.247,-0.085,0.954,Unknown
1601655833973,-0.198,-1.89,-0.473,-0.236,-0.088,0.963,Unknown
1601655833982,-0.564,-1.174,-0.442,-0.221,-0.095,0.96,Unknown
1601655833992,-0.427,1.052,0.671,-0.227,-0.092,0.949,Unknown
1601655834003,-0.655,1.738,1.692,-0.234,-0.083,0.948,Unknown
1601655834013,-0.899,2.027,2.027,-0.231,-0.082,0.94,Unknown
1601655834023,0.152,2.576,1.845,-0.238,-0.084,0.927,Unknown
1601655834032,0.777,1.494,1.204,-0.24,-0.077,0.934,Unknown
1601655834042,-0.076,-0.152,0.122,-0.239,-0.077,0.944,Unknown
1601655834053,-1.006,-1.372,-0.732,-0.228,-0.087,0.937,Unknown
1601655834063,-0.61,-0.412,-0.335,-0.222,-0.087,0.934,Unknown
1601655834072,0.122,0.366,0.32,-0.237,-0.083,0.939,Unknown
1601655834082,0.442,-0.503,0.198,-0.24,-0.083,0.953,Unknown
1601655834092,0.625,-0.701,-0.091,-0.232,-0.088,0.962,Unknown
1601655834102,-0.061,-0.335,-0.015,-0.228,-0.09,0.96,Unknown
1601655834113,-0.335,1.28,0.366,-0.227,-0.093,0.959,Unknown
1601655834121,-0.473,2.591,0.671,-0.23,-0.092,0.948,Unknown
1601655834132,-0.503,1.494,0.473,-0.234,-0.087,0.942,Unknown
1601655834142,-0.854,-0.274,-0.137,-0.235,-0.087,0.945,Unknown
1601655834152,-1.326,-1.951,-0.808,-0.232,-0.084,0.951,Unknown
1601655834161,-2.119,-1.89,-0.701,-0.22,-0.089,0.95,Unknown
1601655834171,-1.418,0.0,-0.274,-0.226,-0.084,0.939,Unknown
1601655834181,-0.854,0.229,-0.152,-0.234,-0.079,0.948,Unknown
1601655834192,-1.235,-0.64,-0.305,-0.232,-0.082,0.958,Unknown
1601655834202,-1.372,-0.61,-0.229,-0.228,-0.089,0.955,Unknown
1601655834211,-0.655,0.716,0.183,-0.228,-0.086,0.944,Unknown
1601655834221,-0.274,0.595,0.229,-0.229,-0.083,0.937,Unknown
1601655834231,-0.64,-0.137,0.335,-0.223,-0.085,0.942,Unknown
1601655834242,-0.564,0.976,0.549,-0.222,-0.086,0.94,Unknown
1601655834250,-0.793,0.915,0.137,-0.23,-0.085,0.934,Unknown
1601655834261,-1.128,-1.22,-0.534,-0.228,-0.084,0.939,Unknown
1601655834271,-0.747,-1.448,-0.579,-0.224,-0.089,0.934,Unknown
1601655834281,0.747,-1.753,-0.488,-0.234,-0.092,0.926,Unknown
1601655834291,0.991,-2.012,0.259,-0.218,-0.095,0.938,Unknown
1601655834300,1.463,0.137,1.067,-0.219,-0.094,0.939,Unknown
1601655834310,1.463,0.777,1.692,-0.232,-0.091,0.942,Unknown
1601655834321,0.213,0.351,1.57,-0.238,-0.084,0.956,Unknown
1601655834331,-1.204,-0.168,0.793,-0.246,-0.077,0.95,Unknown
1601655834340,-1.936,-1.479,-0.03,-0.243,-0.081,0.951,Unknown
